frame,ID,X,Y,Class,Color,Position,X_court,Y_court,is_outlier,X_court_clamped,Y_court_clamped,court_zone,court_side,dist_to_near_baseline,dist_to_far_baseline,dist_to_net,dist_to_left_sideline,dist_to_right_sideline,dist_to_center
7,5,1189,282,Player,red,Defense,12.515055,14.424509,False,12.515055,14.424509,Far Court,Right,14.424509,9.345491,2.5395088,12.515055,1.5450544,7.0300546
7,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
7,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
7,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
7,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
7,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
7,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
7,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
7,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
7,16,224,121,Player,red,Defense,-14.419364,-37.634777,True,-2.0,-2.0,Near Service Box,Left,37.634777,61.404778,49.519775,14.419364,25.389364,19.904364
7,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
7,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
7,0,938,523,Ball,blue,Ball,9.388005,21.49962,False,9.388005,21.49962,Far Service Box,Right,21.49962,2.27038,9.61462,9.388005,1.581995,3.9030051
8,1,634,211,Player,red,Defense,6.3175464,4.4647665,False,6.3175464,4.4647665,Near Service Box,Right,4.4647665,19.305233,7.4202337,6.3175464,4.652454,0.83254623
8,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
8,3,910,645,Player,red,Defense,8.883324,24.309206,False,8.883324,24.309206,Out of Bounds,Right,24.309206,0.53920555,12.424206,8.883324,2.0866766,3.3983235
8,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
8,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
8,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
8,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
8,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
8,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
8,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
8,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
8,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
8,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
8,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
