frame,ID,X,Y,Class,Color,Position,X_mapped,Y_mapped
9,8,422,147,Player,red,Defense,-2.7495768505417457,1.289048329163793
9,9,1208,196,Player,red,Defense,6.113746697943784,17.868634131277872
9,10,78,195,Player,red,Defense,2.6350728271384805,8.587654989564932
9,11,167,360,Player,red,Defense,5.3244430487799095,5.244457082860548
9,12,170,256,Player,red,Defense,3.3771813290164605,6.693427235318748
10,1,975,593,Player,red,Defense,-1.4918702248384927,26.614342551975795
10,2,522,587,Player,red,Defense,35.26437398722383,-55.12263878032534
10,3,765,292,Player,red,Defense,5.674259212253986,33.61950880998192
10,4,1120,351,Player,red,Defense,3.912369033123826,20.36401008472226
10,5,566,221,Player,red,Defense,-13.312057678567982,-50.40275175895399
10,6,1087,220,Player,red,Defense,6.112274993872727,19.270079332520023
10,7,844,152,Player,red,Defense,10.241314030702867,23.635626033750956
