ID,TotalDistance,AverageSpeed,MaxSpeed,AverageSpeedKmh,MaxSpeedKmh,FrameCount,ValidMovements,FilteredMovements,DetectionGaps,MovementSegments,CourtCoverage,TimeActive,DistancePerMinute
84,5.333105125202113,3.7740174324390243,11.267700140155167,13.586462756780488,40.5637205045586,117,39,73,4,5,1.8038327339503317,5.166666666666667,61.93283371202454
85,8.58270356213226,4.8581340917729765,11.809270834760055,17.489282730382715,42.5133750051362,100,53,46,0,1,2.1290004409203864,3.3,156.049155675132
86,1.4430345652769787,4.650695823257977,8.065400423364249,16.742504963728717,29.035441524111295,15,10,3,1,2,0.10119566787523851,0.6333333333333333,136.7085377630822
87,0.9431402112538265,3.9213664769536796,4.1544916311749125,14.116919317033247,14.956169872229685,18,7,9,1,2,0.21294440817708277,0.6666666666666666,84.88261901284439
90,1.6872456325766492,7.231052711042783,9.792500170210529,26.03178975975402,35.2530006127579,8,7,0,0,1,0.022576963089755427,0.23333333333333334,433.86316266256694
99,0.13213748380913673,3.964124514274102,3.964124514274102,14.270848251386766,14.270848251386766,6,1,4,0,1,0.003500053576461154,0.16666666666666666,47.56949417128923
102,4.008832030972013,3.1161859459290278,8.711701838610225,11.2182694053445,31.362126618996808,73,36,32,4,5,1.9194303140090194,4.433333333333334,54.25486959210243
144,6.814571115980698,5.223957877233896,9.13089020832373,18.806248358042026,32.87120474996543,84,36,47,1,2,1.9684727858831594,2.8333333333333335,144.308564809003
150,0.8893676430411377,2.3589899381785226,4.814591744303103,8.492363777442682,17.33253027949117,33,10,21,2,3,0.07661271749398296,1.6333333333333333,32.67064811171526
166,0.2833067577190994,2.833067577190994,2.8433266253967564,10.199043277887577,10.235975851428323,12,3,8,0,1,0.007493520884573244,0.36666666666666664,46.35928762676173
178,0.2809321181095079,8.427963543285237,8.427963543285237,30.340668755826854,30.340668755826854,7,1,5,0,1,0.003812263799092835,0.2,84.27963543285237
213,0.0,0.0,0.0,,,1,0,0,0,0,0.0,0.0,
221,3.7546688137087725,4.505602576450527,10.849269319436994,16.2201692752219,39.05736954997318,102,25,76,0,1,0.46041787671988765,3.3666666666666667,66.91488974926526
237,3.2095048550012977,3.8023051647143933,7.245157924771346,13.688298592971815,26.082568529176843,74,24,46,3,4,0.3901174652288429,3.3333333333333335,57.771087390023354
241,3.3882220651354578,5.6470367752257635,8.589812017062293,20.32933239081275,30.923323261424255,35,18,16,0,1,0.335803420542016,1.1333333333333333,179.3764622718772
247,0.36250014643813966,2.718751098286047,3.9462832048532985,9.78750395382977,14.206619537471875,9,4,4,0,1,0.04127021568173368,0.26666666666666666,81.56253294858142
252,0.5249802151680698,1.968675806880262,2.108608767178086,7.087232904768943,7.59099156184111,49,8,40,2,3,0.003488147290230755,1.8,17.499340505602326
253,7.3446554062429135,5.955126005061823,11.968685319342878,21.438453618222564,43.087267149634364,55,37,17,0,1,0.10491261320255689,1.8,244.82184687476376
254,0.6150478831813321,2.678053047168107,5.184455924081231,9.640990969805186,18.66404132669243,34,6,26,1,2,0.005471678199303668,1.3666666666666667,27.002102188448724
